id,cuisine
18009,british
28583,southern_us
41580,itailian
29752,cajun_creole
35687,itailian
38527,southern_us
19666,french
41217,chinese
28753,mexican
22659,british
21749,itailian
44967,greek
42969,indian
44883,itailian
20827,southern_us
23196,french
35387,mexican
33780,southern_us
19001,mexican
16526,southern_us
42455,japanese
47453,indian
42478,french
11885,vietnamese
16585,itailian
29639,southern_us
26245,vietnamese
38516,korean
47520,itailian
26212,southern_us
23696,mexican
14926,thai
13292,mexican
27346,japanese
1384,chinese
15959,mexican
42297,russian
46235,indian
21181,indian
9809,cajun_creole
22982,cajun_creole
23120,chinese
26743,french
12741,mexican
7050,itailian
22437,itailian
14760,spanish
10649,indian
48065,vietnamese
39931,chinese
32935,itailian
40142,thai
19103,indian
38267,filipino
30512,itailian
3324,chinese
26197,itailian
384,japanese
47230,chinese
39748,cajun_creole
41038,french
24878,mexican
42624,filipino
45706,korean
8874,mexican
23878,greek
47234,filipino
24075,thai
46323,itailian
22562,itailian
11358,itailian
9201,indian
38620,thai
47638,brazilian
21238,indian
11053,japanese
46602,indian
13937,mexican
21876,southern_us
20798,greek
24381,chinese
48178,spanish
45832,itailian
27560,korean
23247,british
28975,southern_us
43230,greek
9126,itailian
13021,cajun_creole
28194,chinese
25617,indian
36125,itailian
16454,mexican
1607,chinese
38526,moroccan
18755,southern_us
12035,british
16047,greek
15419,itailian
16971,indian
31459,southern_us
27888,southern_us
13900,itailian
12376,thai
1658,korean
29431,southern_us
22290,itailian
28464,itailian
37953,korean
20814,chinese
35987,mexican
2329,itailian
43237,southern_us
30647,french
16675,itailian
37722,mexican
32438,japanese
20287,thai
43296,indian
6237,jamaican
48560,korean
20810,mexican
34951,french
31850,filipino
47745,southern_us
37815,vietnamese
9872,itailian
5592,itailian
27411,thai
39320,irish
40247,japanese
19792,mexican
40754,itailian
14365,mexican
14468,spanish
47563,mexican
19611,itailian
7163,mexican
43069,irish
27505,chinese
36500,thai
25932,southern_us
817,itailian
8471,french
48250,southern_us
9413,cajun_creole
12097,cajun_creole
8416,spanish
5892,itailian
676,itailian
47015,chinese
21891,itailian
14630,itailian
36195,japanese
25981,mexican
39964,french
28298,indian
31954,itailian
26620,mexican
14932,southern_us
47426,itailian
1038,southern_us
8077,southern_us
37141,southern_us
45447,french
9624,mexican
45589,british
7265,irish
31844,southern_us
13046,itailian
9867,southern_us
29184,itailian
34783,itailian
2823,vietnamese
18932,mexican
11112,mexican
12859,thai
9365,itailian
44516,southern_us
18193,irish
46545,itailian
9900,itailian
14815,thai
39690,itailian
22193,southern_us
11739,french
27311,chinese
36920,indian
7861,indian
29248,moroccan
43142,mexican
7574,mexican
8610,mexican
989,itailian
46926,mexican
40816,mexican
39726,chinese
42229,southern_us
10474,itailian
22140,mexican
31985,indian
46165,japanese
20860,itailian
42494,itailian
15968,french
20484,vietnamese
26661,thai
47182,mexican
22528,french
3861,chinese
1203,french
45040,irish
33287,indian
10097,jamaican
42005,southern_us
12423,itailian
39613,filipino
30276,brazilian
18686,mexican
3031,french
40093,itailian
182,french
46591,mexican
4092,chinese
13722,southern_us
44575,itailian
14989,itailian
13270,itailian
25529,itailian
12140,indian
23127,mexican
13523,itailian
41270,itailian
8362,thai
11735,southern_us
27935,itailian
28198,mexican
37765,indian
33856,filipino
30198,itailian
42521,itailian
21567,southern_us
36995,french
24967,thai
45002,southern_us
48925,southern_us
36914,mexican
2280,southern_us
14729,cajun_creole
4594,itailian
2237,mexican
45631,moroccan
2317,chinese
23079,southern_us
29333,chinese
48066,southern_us
15737,itailian
30580,jamaican
1119,itailian
46336,moroccan
5026,mexican
10749,filipino
31020,mexican
30805,french
27653,itailian
35060,mexican
39174,indian
49509,itailian
31784,spanish
31408,french
36029,mexican
11045,french
6561,southern_us
26992,thai
31179,southern_us
35099,mexican
11018,japanese
17930,mexican
21302,itailian
46352,thai
25132,mexican
7010,indian
25850,southern_us
19601,mexican
7935,itailian
34994,filipino
25113,itailian
45523,itailian
34977,southern_us
7124,southern_us
27514,greek
27178,mexican
47880,korean
29197,french
16347,southern_us
20333,mexican
29112,chinese
7510,british
13897,mexican
35699,moroccan
20520,mexican
38920,mexican
21775,indian
37475,japanese
40131,cajun_creole
1939,mexican
48268,spanish
34815,greek
13797,itailian
39063,chinese
29064,chinese
26896,spanish
29477,itailian
3352,irish
4966,mexican
7316,itailian
23879,mexican
16525,spanish
32843,chinese
39574,mexican
32737,mexican
44788,filipino
28772,itailian
34189,mexican
33719,southern_us
25846,indian
1423,indian
4328,vietnamese
579,southern_us
5219,indian
2314,southern_us
31143,moroccan
13409,korean
3281,greek
15804,thai
40835,southern_us
39262,korean
37013,indian
14807,jamaican
47956,mexican
2580,mexican
13720,itailian
23008,japanese
5951,indian
39312,mexican
6176,irish
17617,chinese
57,mexican
43422,indian
49403,spanish
44751,southern_us
21865,mexican
26584,french
39355,korean
14038,mexican
45396,filipino
49715,mexican
41515,thai
30445,spanish
4090,southern_us
17207,thai
40376,itailian
19398,mexican
22347,vietnamese
49671,mexican
40854,itailian
926,korean
47919,mexican
20571,itailian
18866,british
48742,mexican
14577,itailian
29481,itailian
40996,itailian
34470,moroccan
31147,mexican
35932,itailian
27221,itailian
48301,itailian
29925,korean
48640,thai
22873,itailian
10565,cajun_creole
15509,itailian
37569,southern_us
13306,chinese
40474,itailian
15182,indian
8609,chinese
32168,korean
1125,mexican
25244,itailian
46889,chinese
13841,filipino
47135,moroccan
29036,indian
43533,japanese
41631,southern_us
22124,french
18836,cajun_creole
35695,french
5141,indian
41894,moroccan
4972,itailian
34195,thai
14183,french
15188,japanese
8734,itailian
30946,cajun_creole
5588,southern_us
49554,british
1270,indian
1259,vietnamese
45986,greek
22351,southern_us
300,mexican
9278,southern_us
10021,indian
17014,russian
40855,itailian
